step,time,mid_price,reservation_price_as,half_spread_as,u_skew,u_spr,bid,ask,inventory,cash,wealth,lambda_bid,lambda_ask,prob_bid_fill,prob_ask_fill,bid_fill,ask_fill
47,0.47000000000000003,99.71872070237224,99.63583881571704,1.8611017980432494,-0.0,0.0,97.77473701767379,101.49694061376029,0,1.4944666788860133,1.4944666788860133,1.2440096401909317,1.2440096401909317,0.012363038270506777,0.012363038270506777,False,False
48,0.48,99.772262994841,99.71872070237224,1.8591017980432496,-0.0,0.0,97.85961890432898,101.5778225004155,0,1.4944666788860133,1.4944666788860133,1.2465001491500973,1.2465001491500973,0.01238763515122765,0.01238763515122765,False,False
49,0.49,99.64984363502904,99.772262994841,1.8571017980432494,-0.0,0.0,97.91516119679775,101.62936479288425,0,1.4944666788860133,1.4944666788860133,1.2489956441115393,1.2489956441115393,0.012412280660516029,0.012412280660516029,False,False
50,0.5,99.68125334851811,99.64984363502904,1.8551017980432494,-0.0,0.0,97.79474183698579,101.5049454330723,0,1.4944666788860133,1.4944666788860133,1.2514961350572054,1.2514961350572054,0.012436974893278774,0.012436974893278774,False,False
51,0.51,99.34631675957723,99.68125334851811,1.8531017980432494,-0.0,0.0,97.82815155047486,101.53435514656137,0,1.4944666788860133,1.4944666788860133,1.25400163198908,1.25400163198908,0.012461717944603712,0.012461717944603712,False,False
52,0.52,99.40245411296752,99.34631675957723,1.8511017980432496,-0.0,0.0,97.49521496153399,101.19741855762048,0,1.4944666788860133,1.4944666788860133,1.2565121449291727,1.2565121449291727,0.01248650990975897,0.01248650990975897,False,False
53,0.53,99.59900201517213,99.40245411296752,1.8491017980432494,-0.0,0.0,97.55335231492427,101.25155591101077,0,1.4944666788860133,1.4944666788860133,1.2590276839195027,1.2590276839195027,0.012511350884193528,0.012511350884193528,False,False
54,0.54,99.40597866272566,99.59900201517213,1.8471017980432494,-0.0,0.0,97.75190021712888,101.44610381321539,0,1.4944666788860133,1.4944666788860133,1.2615482590222469,1.2615482590222469,0.01253624096353767,0.01253624096353767,False,False
55,0.55,99.24170132688079,99.40597866272566,1.8451017980432494,-0.0,0.0,97.56087686468241,101.2510804607689,0,1.4944666788860133,1.4944666788860133,1.2640738803197273,1.2640738803197273,0.012561180243603531,0.012561180243603531,False,False
56,0.56,99.42801592945564,99.24170132688079,1.8431017980432496,-0.0,0.0,97.39859952883754,101.08480312492404,0,1.4944666788860133,1.4944666788860133,1.2666045579143963,1.2666045579143963,0.012586168820384658,0.012586168820384658,False,False
57,0.5700000000000001,99.41986342422855,99.42801592945564,1.8411017980432494,-0.0,0.0,97.58691413141239,101.2691177274989,0,1.4944666788860133,1.4944666788860133,1.2691403019289857,1.2691403019289857,0.012611206790057339,0.012611206790057339,False,False
58,0.58,99.32886672816039,99.41986342422855,1.8391017980432494,-0.0,0.0,97.5807616261853,101.2589652222718,0,1.4944666788860133,1.4944666788860133,1.2716811225064932,1.2716811225064932,0.012636294248980162,0.012636294248980162,False,False
59,0.59,99.36338431170482,99.32886672816039,1.8371017980432494,-0.0,0.0,97.49176493011714,101.16596852620364,0,1.4944666788860133,1.4944666788860133,1.2742270298101683,1.2742270298101683,0.012661431293694458,0.012661431293694458,False,False
60,0.6,99.33965664648284,99.36338431170482,1.8351017980432496,-0.0,0.0,97.52828251366157,101.19848610974807,0,1.4944666788860133,1.4944666788860133,1.2767780340236616,1.2767780340236616,0.012686618020924967,0.012686618020924967,False,False
61,0.61,99.38353314675561,99.33965664648284,1.8331017980432494,-0.0,0.0,97.50655484843959,101.17275844452608,0,1.4944666788860133,1.4944666788860133,1.2793341453510114,1.2793341453510114,0.012711854527580169,0.012711854527580169,False,False
62,0.62,99.46928443444793,99.38353314675561,1.8311017980432494,-0.0,0.0,97.55243134871236,101.21463494479886,0,1.4944666788860133,1.4944666788860133,1.2818953740166301,1.2818953740166301,0.012737140910751843,0.012737140910751843,False,False
63,0.63,99.22439062810383,99.46928443444793,1.8291017980432493,-0.0,0.0,97.64018263640467,101.29838623249118,0,1.4944666788860133,1.4944666788860133,1.2844617302654542,1.2844617302654542,0.01276247726771651,0.01276247726771651,False,False
64,0.64,99.5691237722605,99.22439062810383,1.8271017980432496,-0.0,0.0,97.39728883006059,101.05149242614708,0,1.4944666788860133,1.4944666788860133,1.2870332243629303,1.2870332243629303,0.012787863695934987,0.012787863695934987,False,False
65,0.65,99.86141263070894,99.5691237722605,1.8251017980432493,-0.0,0.0,97.74402197421725,101.39422557030375,0,1.4944666788860133,1.4944666788860133,1.2896098665950015,1.2896098665950015,0.01281330029305261,0.01281330029305261,False,False
66,0.66,99.68246722691778,99.86141263070894,1.8231017980432493,-0.0,0.0,98.03831083266569,101.6845144287522,0,1.4944666788860133,1.4944666788860133,1.2921916672682585,1.2921916672682585,0.012838787156900566,0.012838787156900566,False,False
67,0.67,99.68144285357377,99.68246722691778,1.8211017980432493,-0.0,0.0,97.86136542887454,101.50356902496102,0,1.4944666788860133,1.4944666788860133,1.294778636709926,1.294778636709926,0.01286432438549523,0.01286432438549523,False,False
68,0.68,99.96293922583651,99.68144285357377,1.8191017980432496,-0.0,0.0,97.86234105553052,101.50054465161702,0,1.4944666788860133,1.4944666788860133,1.2973707852678484,1.2973707852678484,0.01288991207703849,0.01288991207703849,False,False
69,0.6900000000000001,99.5529048056303,99.96293922583651,1.8171017980432493,-0.0,0.0,98.14583742779325,101.78004102387976,0,1.4944666788860133,1.4944666788860133,1.2999681233106415,1.2999681233106415,0.012915550329918868,0.012915550329918868,False,False
70,0.7000000000000001,99.30914219354558,99.5529048056303,1.8151017980432493,-0.0,0.0,97.73780300758706,101.36800660367355,0,1.4944666788860133,1.4944666788860133,1.3025706612276797,1.3025706612276797,0.0129412392427114,0.0129412392427114,False,False
71,0.71,99.49232270201678,99.30914219354558,1.8131017980432493,-0.0,0.0,97.49604039550233,101.12224399158883,0,1.4944666788860133,1.4944666788860133,1.305178409429081,1.305178409429081,0.012966978914177418,0.012966978914177418,False,False
72,0.72,99.39548881535006,99.49232270201678,1.8111017980432496,-0.0,0.0,97.68122090397353,101.30342450006003,0,1.4944666788860133,1.4944666788860133,1.3077913783458603,1.3077913783458603,0.012992769443265995,0.012992769443265995,False,False
73,0.73,99.50311190275085,99.39548881535006,1.8091017980432493,-0.0,0.0,97.58638701730682,101.20459061339331,0,1.4944666788860133,1.4944666788860133,1.3104095784299152,1.3104095784299152,0.013018610929113716,0.013018610929113716,False,False
74,0.74,99.36392338041671,99.50311190275085,1.8071017980432493,-0.0,0.0,97.6960101047076,101.3102137007941,0,1.4944666788860133,1.4944666788860133,1.3130330201540126,1.3130330201540126,0.013044503471044355,0.013044503471044355,False,False
75,0.75,99.39923805210745,99.36392338041671,1.8051017980432493,-0.0,0.0,97.55882158237345,101.16902517845996,0,1.4944666788860133,1.4944666788860133,1.315661714011941,1.315661714011941,0.01307044716857042,0.01307044716857042,False,False
76,0.76,99.44488371813523,99.39923805210745,1.8031017980432495,-0.0,0.0,97.5961362540642,101.2023398501507,0,1.4944666788860133,1.4944666788860133,1.3182956705184987,1.3182956705184987,0.013096442121392937,0.013096442121392937,False,False
77,0.77,99.27423504802347,99.44488371813523,1.8011017980432493,-0.0,0.0,97.64378192009198,101.24598551617848,0,1.4944666788860133,1.4944666788860133,1.3209349002094775,1.3209349002094775,0.013122488429401336,0.013122488429401336,False,False
78,0.78,99.15609364523077,99.27423504802347,1.7991017980432495,-0.0,0.0,97.47513324998022,101.07333684606672,0,1.4944666788860133,1.4944666788860133,1.323579413641818,1.323579413641818,0.013148586192674672,0.013148586192674672,False,False
79,0.79,99.01027687768205,99.15609364523077,1.7971017980432493,-0.0,0.0,97.35899184718753,100.95319544327401,0,1.4944666788860133,1.4944666788860133,1.326229221393597,1.326229221393597,0.013174735511481406,0.013174735511481406,False,False
80,0.8,98.97774369357306,99.01027687768205,1.7951017980432495,-0.0,0.0,97.2151750796388,100.8053786757253,0,1.4944666788860133,1.4944666788860133,1.3288843340640109,1.3288843340640109,0.013200936486279402,0.013200936486279402,False,False
81,0.81,99.41995208569149,98.97774369357306,1.7931017980432493,-0.0,0.0,97.18464189552981,100.77084549161631,0,1.4944666788860133,1.4944666788860133,1.3315447622735328,1.3315447622735328,0.013227189217717372,0.013227189217717372,False,False
82,0.8200000000000001,99.64472423185002,99.41995208569149,1.7911017980432493,-0.0,0.0,97.62885028764825,101.21105388373473,0,1.4944666788860133,1.4944666788860133,1.3342105166638982,1.3342105166638982,0.01325349380663432,0.01325349380663432,False,False
83,0.8300000000000001,99.35131518277183,99.64472423185002,1.7891017980432493,-0.0,0.0,97.85562243380677,101.43382602989327,0,1.4944666788860133,1.4944666788860133,1.3368816078980903,1.3368816078980903,0.013279850354059652,0.013279850354059652,False,False
84,0.84,99.1319580670809,99.35131518277183,1.7871017980432495,-0.0,0.0,97.56421338472857,101.13841698081508,0,1.4944666788860133,1.4944666788860133,1.3395580466604966,1.3395580466604966,0.013306258961214512,0.013306258961214512,False,False
85,0.85,98.89764474131583,99.1319580670809,1.7851017980432493,-0.0,0.0,97.34685626903766,100.91705986512414,0,1.4944666788860133,1.4944666788860133,1.3422398436568945,1.3422398436568945,0.013332719729511777,0.013332719729511777,False,False
86,0.86,99.24338427019694,98.89764474131583,1.7831017980432495,-0.0,0.0,97.11454294327258,100.68074653935908,0,1.4944666788860133,1.4944666788860133,1.3449270096144377,1.3449270096144377,0.013359232760555173,0.013359232760555173,False,False
87,0.87,99.39885178540929,99.24338427019694,1.7811017980432493,-0.0,0.0,97.46228247215369,101.0244860682402,0,1.4944666788860133,1.4944666788860133,1.3476195552818124,1.3476195552818124,0.013385798156141826,0.013385798156141826,False,False
88,0.88,99.37208719250609,99.39885178540929,1.7791017980432495,-0.0,0.0,97.61974998736605,101.17795358345253,0,1.4944666788860133,1.4944666788860133,1.3503174914292244,1.3503174914292244,0.013412416018260709,0.013412416018260709,False,False
89,0.89,99.3188096945043,99.37208719250609,1.7771017980432493,-0.0,0.0,97.59498539446284,101.14918899054933,0,1.4944666788860133,1.4944666788860133,1.3530208288483832,1.3530208288483832,0.013439086449093862,0.013439086449093862,False,False
90,0.9,99.41311739901333,99.3188096945043,1.7751017980432495,-0.0,0.0,97.54370789646104,101.09391149254755,0,1.4944666788860133,1.4944666788860133,1.3557295783526615,1.3557295783526615,0.013465809551016394,0.013465809551016394,False,False
91,0.91,99.48346868069316,99.41311739901333,1.7731017980432493,-0.0,0.0,97.64001560097009,101.18621919705657,0,1.4944666788860133,1.4944666788860133,1.3584437507770801,1.3584437507770801,0.013492585426597703,0.013492585426597703,False,False
92,0.92,99.3391570739846,99.48346868069316,1.7711017980432495,-0.0,0.0,97.71236688264992,101.25457047873641,0,1.4944666788860133,1.4944666788860133,1.361163356978294,1.361163356978294,0.013519414178600031,0.013519414178600031,False,False
93,0.93,99.90197384663755,99.3391570739846,1.7691017980432493,-0.0,0.0,97.57005527594134,101.10825887202785,0,1.4944666788860133,1.4944666788860133,1.3638884078347504,1.3638884078347504,0.013546295909980688,0.013546295909980688,False,False
94,0.9400000000000001,99.97914315714884,99.90197384663755,1.7671017980432495,-0.0,0.0,98.1348720485943,101.66907564468079,0,1.4944666788860133,1.4944666788860133,1.366618914246676,1.366618914246676,0.013573230723891383,0.013573230723891383,False,False
95,0.9500000000000001,100.03137470053048,99.97914315714884,1.7651017980432493,-0.0,0.0,98.2140413591056,101.74424495519209,0,1.4944666788860133,1.4944666788860133,1.3693548871360615,1.3693548871360615,0.013600218723678559,0.013600218723678559,False,False
96,0.96,100.08392454555991,100.03137470053048,1.7631017980432495,-0.0,0.0,98.26827290248723,101.79447649857373,0,1.4944666788860133,1.4944666788860133,1.3720963374468214,1.3720963374468214,0.013627260012884279,0.013627260012884279,False,False
97,0.97,100.26941224187155,100.08392454555991,1.7611017980432493,-0.0,0.0,98.32282274751665,101.84502634360317,0,1.4944666788860133,1.4944666788860133,1.3748432761447602,1.3748432761447602,0.013654354695246007,0.013654354695246007,False,False
98,0.98,100.17510728038155,100.26941224187155,1.7591017980432495,-0.0,0.0,98.5103104438283,102.0285140399148,0,1.4944666788860133,1.4944666788860133,1.3775957142176565,1.3775957142176565,0.013681502874697604,0.013681502874697604,False,False
99,0.99,100.11667304322084,100.17510728038155,1.7571017980432493,-0.0,0.0,98.4180054823383,101.9322090784248,0,1.4944666788860133,1.4944666788860133,1.3803536626752269,1.3803536626752269,0.013708704655368553,0.013708704655368553,False,False
100,1.0,100.14718554564134,100.11667304322084,1.7551017980432495,-0.0,0.0,98.36157124517759,101.8717748412641,0,1.4944666788860133,1.4944666788860133,1.3831171325492884,1.3831171325492884,0.013735960141585624,0.013735960141585624,False,False
101,1.01,100.0998154927394,100.14718554564134,1.7531017980432493,-0.0,0.0,98.39408374759809,101.90028734368458,0,1.4944666788860133,1.4944666788860133,1.385886134893744,1.385886134893744,0.013763269437872538,0.013763269437872538,False,False
102,1.02,100.02543257647514,100.0998154927394,1.7511017980432495,-0.0,0.0,98.34871369469614,101.85091729078265,0,1.4944666788860133,1.4944666788860133,1.3886606807845672,1.3886606807845672,0.013790632648949974,0.013790632648949974,False,False
103,1.03,100.37090261930798,100.02543257647514,1.7491017980432493,-0.0,0.0,98.27633077843188,101.7745343745184,0,1.4944666788860133,1.4944666788860133,1.3914407813199652,1.3914407813199652,0.013818049879736782,0.013818049879736782,False,False
104,1.04,100.3051975746834,100.37090261930798,1.7471017980432495,-0.0,0.0,98.62380082126474,102.11800441735123,0,1.4944666788860133,1.4944666788860133,1.3942264476203634,1.3942264476203634,0.013845521235349989,0.013845521235349989,False,False
105,1.05,100.23830634021223,100.3051975746834,1.7451017980432493,-0.0,0.0,98.56009577664015,102.05029937272666,0,1.4944666788860133,1.4944666788860133,1.3970176908283913,1.3970176908283913,0.013873046821104351,0.013873046821104351,False,False
106,1.06,100.58476866129422,100.23830634021223,1.7431017980432495,-0.0,0.0,98.49520454216898,101.98140813825549,0,1.4944666788860133,1.4944666788860133,1.3998145221090452,1.3998145221090452,0.013900626742514022,0.013900626742514022,False,False
107,1.07,100.93355556652777,100.58476866129422,1.7411017980432493,-0.0,0.0,98.84366686325097,102.32587045933747,0,1.4944666788860133,1.4944666788860133,1.402616952649674,1.402616952649674,0.013928261105292439,0.013928261105292439,False,False
108,1.08,100.87424137582083,100.93355556652777,1.7391017980432495,-0.0,0.0,99.19445376848452,102.67265736457102,0,1.4944666788860133,1.4944666788860133,1.4054249936599634,1.4054249936599634,0.013955950015351659,0.013955950015351659,False,False
109,1.09,101.0721581627398,100.87424137582083,1.7371017980432493,-0.0,0.0,99.13713957777757,102.61134317386409,0,1.4944666788860133,1.4944666788860133,1.4082386563721014,1.4082386563721014,0.013983693578804357,0.013983693578804357,False,False
110,1.1,101.03402795123877,101.0721581627398,1.7351017980432495,-0.0,0.0,99.33705636469655,102.80725996078304,0,1.4944666788860133,1.4944666788860133,1.4110579520407625,1.4110579520407625,0.014011491901963269,0.014011491901963269,False,False
111,1.11,101.39815718276813,101.03402795123877,1.7331017980432493,-0.0,0.0,99.30092615319552,102.76712974928202,0,1.4944666788860133,1.4944666788860133,1.4138828919430932,1.4138828919430932,0.014039345091341193,0.014039345091341193,False,False
112,1.12,101.3847665481885,101.39815718276813,1.7311017980432495,-0.0,0.0,99.66705538472488,103.12925898081139,0,1.4944666788860133,1.4944666788860133,1.416713487378877,1.416713487378877,0.014067253253652212,0.014067253253652212,False,False
113,1.1300000000000001,101.68701223484383,101.3847665481885,1.7291017980432493,-0.0,0.0,99.65566475014525,103.11386834623174,0,1.4944666788860133,1.4944666788860133,1.4195497496705192,1.4195497496705192,0.014095216495811802,0.014095216495811802,False,False
114,1.1400000000000001,101.48426876155575,101.68701223484383,1.7271017980432495,-0.0,0.0,99.95991043680058,103.41411403288708,0,1.4944666788860133,1.4944666788860133,1.4223916901630325,1.4223916901630325,0.01412323492493639,0.01412323492493639,False,False
115,1.1500000000000001,101.35004070607644,101.48426876155575,1.7251017980432493,-0.0,0.0,99.7591669635125,103.20937055959901,0,1.4944666788860133,1.4944666788860133,1.4252393202242033,1.4252393202242033,0.014151308648345018,0.014151308648345018,False,False
116,1.16,101.58110311329779,101.35004070607644,1.7231017980432495,-0.0,0.0,99.6269389080332,103.07314250411969,0,1.4944666788860133,1.4944666788860133,1.4280926512445753,1.4280926512445753,0.01417943777355879,0.01417943777355879,False,False
117,1.17,101.64197645910384,101.58110311329779,1.7211017980432493,-0.0,0.0,99.86000131525454,103.30220491134104,0,1.4944666788860133,1.4944666788860133,1.4309516946374363,1.4309516946374363,0.014207622408301201,0.014207622408301201,False,False
118,1.18,101.96521839543409,101.64197645910384,1.7191017980432495,-0.0,0.0,99.92287466106059,103.3610782571471,0,1.4944666788860133,1.4944666788860133,1.4338164618389837,1.4338164618389837,0.014235862660499143,0.014235862660499143,False,False
119,1.19,102.08339965999276,101.96521839543409,1.7171017980432495,-0.0,0.0,100.24811659739085,103.68232019347734,0,1.4944666788860133,1.4944666788860133,1.4366869643083107,1.4366869643083107,0.014264158638282898,0.014264158638282898,False,False
120,1.2,102.1570709825329,102.08339965999276,1.7151017980432495,-0.0,0.0,100.36829786194951,103.79850145803601,0,1.4944666788860133,1.4944666788860133,1.43956321352739,1.43956321352739,0.014292510449985918,0.014292510449985918,False,False
