step,time,mid_price,reservation_price_as,half_spread_as,reservation_price_sc,half_spread_sc,drawdown,u_skew,u_spr,bid,ask,inventory,cash,wealth,lambda_bid,lambda_ask,prob_bid_fill,prob_ask_fill,bid_fill,ask_fill
29,0.29,100.45345704183548,100.54733750987602,1.8971017980432494,100.54733750987602,1.9067033264095783,0.4800764183164432,-0.0,0.009601528366328865,98.64063418346643,102.4540408362856,0,1.5021641935056067,1.5021641935056067,1.1885549188256885,1.1885549188256885,0.011815195056855243,0.011815195056855243,False,False
30,0.3,100.54276327704147,100.45345704183548,1.8951017980432494,100.45345704183548,1.9047033264095783,0.4800764183164432,-0.0,0.009601528366328865,98.5487537154259,102.35816036824505,0,1.5021641935056067,1.5021641935056067,1.1909344073587214,1.1909344073587214,0.011838708521222818,0.011838708521222818,False,False
31,0.31,100.45810361463265,100.54276327704147,1.8931017980432494,100.54276327704147,1.9027033264095783,0.4800764183164432,-0.0,0.009601528366328865,98.6400599506319,102.44546660345105,0,1.5021641935056067,1.5021641935056067,1.1933186596309548,1.1933186596309548,0.01186226849840244,0.01186226849840244,False,False
32,0.32,100.16868112014804,100.45810361463265,1.8911017980432496,100.45810361463265,1.9007033264095785,0.4800764183164432,-0.0,0.009601528366328865,98.55740028822306,102.35880694104223,0,1.5021641935056067,1.5021641935056067,1.195707685179418,1.195707685179418,0.011885875079277297,0.011885875079277297,False,False
33,0.33,100.24863596549272,100.16868112014804,1.8891017980432494,100.16868112014804,1.8987033264095783,0.4800764183164432,-0.0,0.009601528366328865,98.26997779373846,102.06738444655761,0,1.5021641935056067,1.5021641935056067,1.198101493560233,1.198101493560233,0.011909528354903443,0.011909528354903443,False,False
34,0.34,100.50848162504994,100.24863596549272,1.8871017980432494,100.24863596549272,1.8967033264095783,0.4800764183164432,-0.0,0.009601528366328865,98.35193263908315,102.1453392919023,0,1.5021641935056067,1.5021641935056067,1.2005000943486026,1.2005000943486026,0.011933228416510122,0.011933228416510122,False,False
35,0.35000000000000003,100.32175808904796,100.50848162504994,1.8851017980432494,100.50848162504994,1.8947033264095783,0.4800764183164432,-0.0,0.009601528366328865,98.61377829864036,102.40318495145952,0,1.5021641935056067,1.5021641935056067,1.2029034971389503,1.2029034971389503,0.011956975355500332,0.011956975355500332,False,False
36,0.36,100.25395147386784,100.32175808904796,1.8831017980432496,100.32175808904796,1.8927033264095785,0.4800764183164432,-0.0,0.009601528366328865,98.42905476263839,102.21446141545754,0,1.5021641935056067,1.5021641935056067,1.2053117115449077,1.2053117115449077,0.011980769263451596,0.011980769263451596,False,False
37,0.37,100.34083620257701,100.25395147386784,1.8811017980432494,100.25395147386784,1.8907033264095783,0.4800764183164432,-0.0,0.009601528366328865,98.36324814745826,102.14465480027742,0,1.5021641935056067,1.5021641935056067,1.2077247471993011,1.2077247471993011,0.012004610232114854,0.012004610232114854,False,False
38,0.38,100.05162463169931,100.34083620257701,1.8791017980432494,100.34083620257701,1.8887033264095783,0.4800764183164432,-0.0,0.009601528366328865,98.45213287616743,102.22953952898659,0,1.5021641935056067,1.5021641935056067,1.2101426137542934,1.2101426137542934,0.01202849835341635,0.01202849835341635,False,False
39,0.39,100.09815987397025,100.05162463169931,1.8771017980432494,100.05162463169931,1.8867033264095783,0.4800764183164432,-0.0,0.009601528366328865,98.16492130528974,101.93832795810889,0,1.5021641935056067,1.5021641935056067,1.2125653208813718,1.2125653208813718,0.012052433719457079,0.012052433719457079,False,False
40,0.4,100.05028874847564,100.09815987397025,1.8751017980432496,100.09815987397025,1.8847033264095785,0.4800764183164432,-0.0,0.009601528366328865,98.21345654756067,101.98286320037982,0,1.5021641935056067,1.5021641935056067,1.214992878271333,1.214992878271333,0.012076416422513225,0.012076416422513225,False,False
41,0.41000000000000003,100.09428808527,100.05028874847564,1.8731017980432494,100.05028874847564,1.8827033264095783,0.4800764183164432,-0.0,0.009601528366328865,98.16758542206605,101.93299207488522,0,1.5021641935056067,1.5021641935056067,1.2174252956344274,1.2174252956344274,0.012100446555036504,0.012100446555036504,False,False
42,0.42,100.1656622970999,100.09428808527,1.8711017980432494,100.09428808527,1.8807033264095783,0.4800764183164432,-0.0,0.009601528366328865,98.21358475886042,101.97499141167957,0,1.5021641935056067,1.5021641935056067,1.2198625827003449,1.2198625827003449,0.01212452420965493,0.01212452420965493,False,False
43,0.43,100.03771199054995,100.1656622970999,1.8691017980432494,100.1656622970999,1.8787033264095783,0.4800764183164432,-0.0,0.009601528366328865,98.28695897069032,102.04436562350948,0,1.5021641935056067,1.5021641935056067,1.2223047492182022,1.2223047492182022,0.012148649479171936,0.012148649479171936,False,False
44,0.44,99.76237476103869,100.03771199054995,1.8671017980432496,100.03771199054995,1.8767033264095785,0.4800764183164432,-0.0,0.009601528366328865,98.16100866414037,101.91441531695953,0,1.5021641935056067,1.5021641935056067,1.2247518049566863,1.2247518049566863,0.012172822456568255,0.012172822456568255,False,False
45,0.45,99.46821350213816,99.76237476103869,1.8651017980432494,99.76237476103869,1.8747033264095783,0.4800764183164432,-0.0,0.009601528366328865,97.88767143462911,101.63707808744826,0,1.5021641935056067,1.5021641935056067,1.2272037597040406,1.2272037597040406,0.012197043235001148,0.012197043235001148,False,False
46,0.46,99.63583881571704,99.46821350213816,1.8631017980432494,99.46821350213816,1.8727033264095783,0.4800764183164432,-0.0,0.009601528366328865,97.59551017572858,101.34091682854773,0,1.5021641935056067,1.5021641935056067,1.2296606232680525,1.2296606232680525,0.012221311907804844,0.012221311907804844,False,False
47,0.47000000000000003,99.71872070237224,99.63583881571704,1.8611017980432494,99.63583881571704,1.8707033264095783,0.4800764183164432,-0.0,0.009601528366328865,97.76513548930745,101.50654214212662,0,1.5021641935056067,1.5021641935056067,1.232122405476197,1.232122405476197,0.012245628568491318,0.012245628568491318,False,False
48,0.48,99.772262994841,99.71872070237224,1.8591017980432496,99.71872070237224,1.8687033264095785,0.4800764183164432,-0.0,0.009601528366328865,97.85001737596266,101.58742402878181,0,1.5021641935056067,1.5021641935056067,1.2345891161756237,1.2345891161756237,0.012269993310750404,0.012269993310750404,False,False
49,0.49,99.64984363502904,99.772262994841,1.8571017980432494,99.772262994841,1.8667033264095783,0.4800764183164432,-0.0,0.009601528366328865,97.90555966843142,101.63896632125058,0,1.5021641935056067,1.5021641935056067,1.2370607652331438,1.2370607652331438,0.012294406228449462,0.012294406228449462,False,False
50,0.5,99.68125334851811,99.64984363502904,1.8551017980432494,99.64984363502904,1.8647033264095783,0.4800764183164432,-0.0,0.009601528366328865,97.78514030861946,101.51454696143863,0,1.5021641935056067,1.5021641935056067,1.239537362535374,1.239537362535374,0.012318867415635038,0.012318867415635038,False,False
