step,time,mid_price,reservation_price,half_spread,bid,ask,inventory,cash,wealth,lambda_bid,lambda_ask,prob_bid_fill,prob_ask_fill,bid_fill,ask_fill
63,0.63,99.22439062810383,99.46928443444793,4.829101798043249,94.64018263640467,104.29838623249118,0,0.0,0.0,0.06394958398063098,0.06394958398063098,0.0006392914059222266,0.0006392914059222266,False,False
64,0.64,99.5691237722605,99.22439062810383,4.82710179804325,94.39728883006059,104.05149242614708,0,0.0,0.0,0.06407761113306959,0.06407761113306959,0.0006405708581610492,0.0006405708581610492,False,False
65,0.65,99.86141263070894,99.5691237722605,4.825101798043249,94.74402197421725,104.39422557030375,0,0.0,0.0,0.06420589459603725,0.06420589459603725,0.0006418528702218929,0.0006418528702218929,False,False
66,0.66,99.68246722691778,99.86141263070894,4.82310179804325,95.03831083266569,104.6845144287522,0,0.0,0.0,0.06433443488266889,0.06433443488266889,0.0006431374472231077,0.0006431374472231077,False,False
67,0.67,99.68144285357377,99.68246722691778,4.82110179804325,94.86136542887454,104.50356902496102,0,0.0,0.0,0.06446323250712677,0.06446323250712677,0.000644424594293036,0.000644424594293036,False,False
68,0.68,99.96293922583651,99.68144285357377,4.819101798043249,94.86234105553052,104.50054465161702,0,0.0,0.0,0.06459228798459969,0.06459228798459969,0.000645714316570345,0.000645714316570345,False,False
69,0.6900000000000001,99.5529048056303,99.96293922583651,4.817101798043249,95.14583742779325,104.78004102387976,0,0.0,0.0,0.06472160183131069,0.06472160183131069,0.0006470066192038049,0.0006470066192038049,False,False
70,0.7000000000000001,99.30914219354558,99.5529048056303,4.81510179804325,94.73780300758706,104.36800660367355,0,0.0,0.0,0.06485117456451622,0.06485117456451622,0.0006483015073528442,0.0006483015073528442,False,False
71,0.71,99.49232270201678,99.30914219354558,4.81310179804325,94.49604039550233,104.12224399158883,0,0.0,0.0,0.06498100670250558,0.06498100670250558,0.0006495989861867724,0.0006495989861867724,False,False
72,0.72,99.39548881535006,99.49232270201678,4.811101798043249,94.68122090397353,104.30342450006003,0,0.0,0.0,0.06511109876460837,0.06511109876460837,0.0006508990608854459,0.0006508990608854459,False,False
73,0.73,99.50311190275085,99.39548881535006,4.809101798043249,94.58638701730682,104.20459061339331,0,0.0,0.0,0.06524145127119396,0.06524145127119396,0.0006522017366389354,0.0006522017366389354,False,False
74,0.74,99.36392338041671,99.50311190275085,4.8071017980432496,94.6960101047076,104.3102137007941,0,0.0,0.0,0.0653720647436707,0.0653720647436707,0.0006535070186479697,0.0006535070186479697,False,False
75,0.75,99.39923805210745,99.36392338041671,4.80510179804325,94.55882158237345,104.16902517845996,0,0.0,0.0,0.06550293970449357,0.06550293970449357,0.0006548149121232694,0.0006548149121232694,False,False
76,0.76,99.44488371813523,99.39923805210745,4.803101798043249,94.5961362540642,104.2023398501507,0,0.0,0.0,0.06563407667716353,0.06563407667716353,0.0006561254222863244,0.0006561254222863244,False,False
77,0.77,99.27423504802347,99.44488371813523,4.801101798043249,94.64378192009198,104.24598551617848,0,0.0,0.0,0.06576547618622679,0.06576547618622679,0.0006574385543686168,0.0006574385543686168,False,False
78,0.78,99.15609364523077,99.27423504802347,4.7991017980432495,94.47513324998022,104.07333684606672,0,0.0,0.0,0.06589713875728247,0.06589713875728247,0.0006587543136125085,0.0006587543136125085,False,False
79,0.79,99.01027687768205,99.15609364523077,4.797101798043249,94.35899184718753,103.95319544327401,0,0.0,0.0,0.06602906491698197,0.06602906491698197,0.0006600727052705757,0.0006600727052705757,False,False
80,0.8,98.97774369357306,99.01027687768205,4.79510179804325,94.2151750796388,103.8053786757253,0,0.0,0.0,0.06616125519302826,0.06616125519302826,0.0006613937346059418,0.0006613937346059418,False,False
81,0.81,99.41995208569149,98.97774369357306,4.793101798043249,94.18464189552981,103.77084549161631,0,0.0,0.0,0.06629371011418352,0.06629371011418352,0.000662717406892277,0.000662717406892277,False,False
82,0.8200000000000001,99.64472423185002,99.41995208569149,4.7911017980432495,94.62885028764825,104.21105388373473,0,0.0,0.0,0.06642643021026857,0.06642643021026857,0.0006640437274137989,0.0006640437274137989,False,False
83,0.8300000000000001,99.35131518277183,99.64472423185002,4.78910179804325,94.85562243380677,104.43382602989327,0,0.0,0.0,0.0665594160121621,0.0665594160121621,0.0006653727014651611,0.0006653727014651611,False,False
84,0.84,99.1319580670809,99.35131518277183,4.78710179804325,94.56421338472857,104.13841698081508,0,0.0,0.0,0.06669266805180842,0.06669266805180842,0.0006667043343517864,0.0006667043343517864,False,False
85,0.85,98.89764474131583,99.1319580670809,4.785101798043249,94.34685626903766,103.91705986512414,0,0.0,0.0,0.06682618686221681,0.06682618686221681,0.0006680386313894227,0.0006680386313894227,False,False
86,0.86,99.24338427019694,98.89764474131583,4.7831017980432495,94.11454294327258,103.68074653935908,0,0.0,0.0,0.06695997297746081,0.06695997297746081,0.0006693755979045868,0.0006693755979045868,False,False
87,0.87,99.39885178540929,99.24338427019694,4.78110179804325,94.46228247215369,104.0244860682402,0,0.0,0.0,0.067094026932686,0.067094026932686,0.000670715239234454,0.000670715239234454,False,False
88,0.88,99.37208719250609,99.39885178540929,4.779101798043249,94.61974998736605,104.17795358345253,0,0.0,0.0,0.06722834926410932,0.06722834926410932,0.0006720575607267465,0.0006720575607267465,False,False
89,0.89,99.3188096945043,99.37208719250609,4.777101798043249,94.59498539446284,104.14918899054933,0,0.0,0.0,0.06736294050901839,0.06736294050901839,0.0006734025677400668,0.0006734025677400668,False,False
90,0.9,99.41311739901333,99.3188096945043,4.7751017980432495,94.54370789646104,104.09391149254755,0,0.0,0.0,0.06749780120577932,0.06749780120577932,0.0006747502656435644,0.0006747502656435644,False,False
91,0.91,99.48346868069316,99.41311739901333,4.77310179804325,94.64001560097009,104.18621919705657,0,0.0,0.0,0.06763293189383601,0.06763293189383601,0.0006761006598170471,0.0006761006598170471,False,False
92,0.92,99.3391570739846,99.48346868069316,4.771101798043249,94.71236688264992,104.25457047873641,0,0.0,0.0,0.06776833311370951,0.06776833311370951,0.0006774537556512028,0.0006774537556512028,False,False
93,0.93,99.90197384663755,99.3391570739846,4.769101798043249,94.57005527594134,104.10825887202785,0,0.0,0.0,0.06790400540700581,0.06790400540700581,0.0006788095585473775,0.0006788095585473775,False,False
94,0.9400000000000001,99.97914315714884,99.90197384663755,4.7671017980432495,95.1348720485943,104.66907564468079,0,0.0,0.0,0.06803994931641524,0.06803994931641524,0.0006801680739177973,0.0006801680739177973,False,False
95,0.9500000000000001,100.03137470053048,99.97914315714884,4.765101798043249,95.2140413591056,104.74424495519209,0,0.0,0.0,0.06817616538571171,0.06817616538571171,0.0006815293071854578,0.0006815293071854578,False,False
96,0.96,100.08392454555991,100.03137470053048,4.76310179804325,95.26827290248723,104.79447649857373,0,0.0,0.0,0.06831265415976061,0.06831265415976061,0.0006828932637841234,0.0006828932637841234,False,False
97,0.97,100.26941224187155,100.08392454555991,4.761101798043249,95.32282274751665,104.84502634360317,0,0.0,0.0,0.06844941618451722,0.06844941618451722,0.0006842599491584389,0.0006842599491584389,False,False
98,0.98,100.17510728038155,100.26941224187155,4.7591017980432495,95.5103104438283,105.0285140399148,0,0.0,0.0,0.06858645200703083,0.06858645200703083,0.0006856293687640402,0.0006856293687640402,False,False
99,0.99,100.11667304322084,100.17510728038155,4.75710179804325,95.4180054823383,104.9322090784248,0,0.0,0.0,0.06872376217544292,0.06872376217544292,0.0006870015280673325,0.0006870015280673325,False,False
100,1.0,100.14718554564134,100.11667304322084,4.75510179804325,95.36157124517759,104.8717748412641,0,0.0,0.0,0.06886134723899535,0.06886134723899535,0.00068837643254549,0.00068837643254549,False,False
101,1.01,100.0998154927394,100.14718554564134,4.753101798043249,95.39408374759809,104.90028734368458,0,0.0,0.0,0.06899920774802953,0.06899920774802953,0.0006897540876870112,0.0006897540876870112,False,False
102,1.02,100.02543257647514,100.0998154927394,4.7511017980432495,95.34871369469614,104.85091729078265,0,0.0,0.0,0.06913734425398574,0.06913734425398574,0.0006911344989909418,0.0006911344989909418,False,False
103,1.03,100.37090261930798,100.02543257647514,4.74910179804325,95.27633077843188,104.7745343745184,0,0.0,0.0,0.06927575730941113,0.06927575730941113,0.0006925176719675408,0.0006925176719675408,False,False
104,1.04,100.3051975746834,100.37090261930798,4.747101798043249,95.62380082126474,105.11800441735123,0,0.0,0.0,0.0694144474679591,0.0694144474679591,0.0006939036121380582,0.0006939036121380582,False,False
105,1.05,100.23830634021223,100.3051975746834,4.745101798043249,95.56009577664015,105.05029937272666,0,0.0,0.0,0.06955341528438853,0.06955341528438853,0.0006952923250347354,0.0006952923250347354,False,False
106,1.06,100.58476866129422,100.23830634021223,4.7431017980432495,95.49520454216898,104.98140813825549,0,0.0,0.0,0.06969266131457183,0.06969266131457183,0.0006966838162008049,0.0006966838162008049,False,False
107,1.07,100.93355556652777,100.58476866129422,4.74110179804325,95.84366686325097,105.32587045933747,0,0.0,0.0,0.0698321861154943,0.0698321861154943,0.0006980780911907125,0.0006980780911907125,False,False
108,1.08,100.87424137582083,100.93355556652777,4.739101798043249,96.19445376848452,105.67265736457102,0,0.0,0.0,0.06997199024525334,0.06997199024525334,0.0006994751555696732,0.0006994751555696732,False,False
109,1.09,101.0721581627398,100.87424137582083,4.73710179804325,96.13713957777757,105.61134317386409,0,0.0,0.0,0.07011207426306666,0.07011207426306666,0.0007008750149144483,0.0007008750149144483,False,False
110,1.1,101.03402795123877,101.0721581627398,4.7351017980432495,96.33705636469655,105.80725996078304,0,0.0,0.0,0.07025243872927152,0.07025243872927152,0.0007022776748125681,0.0007022776748125681,False,False
111,1.11,101.39815718276813,101.03402795123877,4.733101798043249,96.30092615319552,105.76712974928202,0,0.0,0.0,0.07039308420532397,0.07039308420532397,0.0007036831408629984,0.0007036831408629984,False,False
112,1.12,101.3847665481885,101.39815718276813,4.73110179804325,96.66705538472488,106.12925898081139,0,0.0,0.0,0.0705340112538071,0.0705340112538071,0.0007050914186755852,0.0007050914186755852,False,False
113,1.1300000000000001,101.68701223484383,101.3847665481885,4.729101798043249,96.65566475014525,106.11386834623174,0,0.0,0.0,0.07067522043843028,0.07067522043843028,0.0007065025138717207,0.0007065025138717207,False,False
114,1.1400000000000001,101.48426876155575,101.68701223484383,4.7271017980432495,96.95991043680058,106.41411403288708,0,0.0,0.0,0.07081671232402845,0.07081671232402845,0.0007079164320836773,0.0007079164320836773,False,False
115,1.1500000000000001,101.35004070607644,101.48426876155575,4.72510179804325,96.7591669635125,106.20937055959901,0,0.0,0.0,0.07095848747657034,0.07095848747657034,0.0007093331789551627,0.0007093331789551627,False,False
116,1.16,101.58110311329779,101.35004070607644,4.72310179804325,96.6269389080332,106.07314250411969,0,0.0,0.0,0.07110054646315775,0.07110054646315775,0.0007107527601412089,0.0007107527601412089,False,False
117,1.17,101.64197645910384,101.58110311329779,4.721101798043249,96.86000131525454,106.30220491134104,0,0.0,0.0,0.0712428898520248,0.0712428898520248,0.0007121751813079502,0.0007121751813079502,False,False
118,1.18,101.96521839543409,101.64197645910384,4.7191017980432495,96.92287466106059,106.3610782571471,0,0.0,0.0,0.07138551821254627,0.07138551821254627,0.0007136004481329561,0.0007136004481329561,False,False
119,1.19,102.08339965999276,101.96521839543409,4.71710179804325,97.24811659739085,106.68232019347734,0,0.0,0.0,0.07152843211523677,0.07152843211523677,0.0007150285663051203,0.0007150285663051203,False,False
