time,mid_price,inventory,cash,wealth,drawdown,reservation_price_as,half_spread_as,reservation_price_sc,half_spread_sc,u_skew,u_spr,bid,ask,bid_fill,ask_fill,reward
0.68,99.96293922583651,0,0.0,0.0,0.0,99.68144285357377,4.819101798043249,100.18144285357377,4.819101798043249,0.5,0.0,95.36234105553052,105.00054465161702,False,False,-0.0025
0.6900000000000001,99.5529048056303,0,0.0,0.0,0.0,99.96293922583651,4.817101798043249,100.46293922583651,4.817101798043249,0.5,0.0,95.64583742779325,105.28004102387976,False,False,-0.0025
0.7000000000000001,99.30914219354558,0,0.0,0.0,0.0,99.5529048056303,4.81510179804325,100.0529048056303,4.81510179804325,0.5,0.0,95.23780300758706,104.86800660367355,False,False,-0.0025
0.71,99.49232270201678,0,0.0,0.0,0.0,99.30914219354558,4.81310179804325,99.80914219354558,4.81310179804325,0.5,0.0,94.99604039550233,104.62224399158883,False,False,-0.0025
0.72,99.39548881535006,0,0.0,0.0,0.0,99.49232270201678,4.811101798043249,99.99232270201678,4.811101798043249,0.5,0.0,95.18122090397353,104.80342450006003,False,False,-0.0025
0.73,99.50311190275085,0,0.0,0.0,0.0,99.39548881535006,4.809101798043249,99.89548881535006,4.809101798043249,0.5,0.0,95.08638701730682,104.70459061339331,False,False,-0.0025
0.74,99.36392338041671,0,0.0,0.0,0.0,99.50311190275085,4.8071017980432496,100.00311190275085,4.8071017980432496,0.5,0.0,95.1960101047076,104.8102137007941,False,False,-0.0025
0.75,99.39923805210745,0,0.0,0.0,0.0,99.36392338041671,4.80510179804325,99.86392338041671,4.80510179804325,0.5,0.0,95.05882158237345,104.66902517845996,False,False,-0.0025
0.76,99.44488371813523,0,0.0,0.0,0.0,99.39923805210745,4.803101798043249,99.89923805210745,4.803101798043249,0.5,0.0,95.0961362540642,104.7023398501507,False,False,-0.0025
0.77,99.27423504802347,0,0.0,0.0,0.0,99.44488371813523,4.801101798043249,99.94488371813523,4.801101798043249,0.5,0.0,95.14378192009198,104.74598551617848,False,False,-0.0025
0.78,99.15609364523077,0,0.0,0.0,0.0,99.27423504802347,4.7991017980432495,99.77423504802347,4.7991017980432495,0.5,0.0,94.97513324998022,104.57333684606672,False,False,-0.0025
0.79,99.01027687768205,0,0.0,0.0,0.0,99.15609364523077,4.797101798043249,99.65609364523077,4.797101798043249,0.5,0.0,94.85899184718753,104.45319544327401,False,False,-0.0025
0.8,98.97774369357306,0,0.0,0.0,0.0,99.01027687768205,4.79510179804325,99.51027687768205,4.79510179804325,0.5,0.0,94.7151750796388,104.3053786757253,False,False,-0.0025
0.81,99.41995208569149,0,0.0,0.0,0.0,98.97774369357306,4.793101798043249,99.47774369357306,4.793101798043249,0.5,0.0,94.68464189552981,104.27084549161631,False,False,-0.0025
0.8200000000000001,99.64472423185002,0,0.0,0.0,0.0,99.41995208569149,4.7911017980432495,99.91995208569149,4.7911017980432495,0.5,0.0,95.12885028764825,104.71105388373473,False,False,-0.0025
0.8300000000000001,99.35131518277183,0,0.0,0.0,0.0,99.64472423185002,4.78910179804325,100.14472423185002,4.78910179804325,0.5,0.0,95.35562243380677,104.93382602989327,False,False,-0.0025
