n_runs,mean_final_wealth,std_final_wealth,mean_mean_step_pnl,mean_std_step_pnl,mean_sharpe_like,min_final_wealth,max_final_wealth,final_wealth_p05,mean_final_inventory,mean_abs_inventory,mean_inventory_std,mean_bid_fills,mean_ask_fills,mean_total_fills,mean_fill_imbalance,mean_max_drawdown,mean_mean_drawdown,max_of_max_drawdown,mean_bid_change_std,mean_ask_change_std,mean_spread_change_std,scmm_alpha_q,scmm_alpha_f,scmm_beta_q,scmm_beta_d,beats_as_sharpe,beats_as_drawdown,beats_as_inventory,accept_core
30,22.528228385978284,5.077102037554977,0.04496652372450753,0.29880814293339647,0.15091064682472985,12.387317134167574,30.477140155741807,14.218603561345828,-0.1,0.4361942781104458,0.6799092778741453,11.9,12.0,23.9,1.1,2.260649910006402,0.40645377162287283,5.057469810534229,0.3320207147593996,0.33242945834007354,0.022185851008564673,0.15,0.02,0.05,0.01,True,True,True,True
30,22.504402076662142,5.163924196374098,0.04491896622088253,0.298441666324628,0.15085335979004608,12.444860071439194,30.57267887886779,14.248604808290205,-0.13333333333333333,0.4364604125083167,0.6804040391297437,11.8,11.933333333333334,23.733333333333334,1.0666666666666667,2.2661770309396876,0.4039705130000636,5.037711866940384,0.33064902625547543,0.3310575511350939,0.022418482063779208,0.15,0.0,0.05,0.015,True,True,True,True
30,22.487744293954773,5.147533764924323,0.04488571715360233,0.2983622946883799,0.15079805215317438,12.404860071439202,30.492678878867807,14.230604808290202,-0.13333333333333333,0.43546240851630075,0.6786710978816938,11.833333333333334,11.966666666666667,23.8,1.0666666666666667,2.2728436976063544,0.40554909491974794,5.037711866940384,0.33159469614548787,0.3319968868697501,0.022432199400951307,0.15,0.02,0.05,0.015,True,True,True,True
30,22.500337107315083,5.212020096408778,0.044910852509610945,0.2986032179851567,0.1507695077037416,13.013364614600533,30.068943127248218,13.97397197828779,-0.06666666666666667,0.43000665335994687,0.6786181502040408,12.166666666666666,12.233333333333333,24.4,1.0666666666666667,2.2127009284340406,0.4095134801879436,5.1569856977219075,0.3332634380973972,0.3334381310941435,0.010090770243896726,0.15,0.02,0.02,0.0,True,True,True,True
30,22.507827192163198,5.129255353670532,0.044925802778768856,0.29884749214397593,0.15072742545806903,12.391937337658092,30.52578811354536,14.212471978287795,-0.1,0.4378576180971391,0.6821678010758758,11.9,12.0,23.9,1.1,2.257786918585943,0.4063729280634154,5.096985697721905,0.3311876162119865,0.33158501900598064,0.022127320734368138,0.15,0.0,0.05,0.0,True,True,True,True
30,22.48517138888538,5.215478255602497,0.04488058161454167,0.298607600965018,0.15069886179351716,12.993364614600523,30.048943127248208,13.964971978287792,-0.06666666666666667,0.4288755821689954,0.677477629257088,12.166666666666666,12.233333333333333,24.4,1.0666666666666667,2.2167009284340407,0.40979845269986903,5.1569856977219075,0.3337202128710321,0.33389375253793613,0.010090556943823105,0.15,0.03,0.02,0.0,True,True,True,True
30,22.490812700455812,5.113149299032858,0.04489184171747667,0.29876778112339786,0.15067036626082572,12.3519373376581,30.445788113545376,14.194471978287792,-0.1,0.43685961410512314,0.680434859827826,11.933333333333334,12.033333333333333,23.966666666666665,1.1,2.2657869185859436,0.40794494706732104,5.096985697721905,0.3321284537561533,0.3325324194400776,0.022153106032027713,0.15,0.02,0.05,0.0,True,True,True,True
30,22.44114658061311,5.035869318636772,0.04479270774573475,0.2985917414476994,0.1504984391521237,12.367317134167564,30.437140155741787,14.20960356134583,-0.1,0.436127744510978,0.6798135645422517,11.866666666666667,11.966666666666667,23.833333333333332,1.1,2.264649910006402,0.40774105347779954,5.057469810534229,0.3324514501649879,0.33287805600186543,0.022167062355114873,0.15,0.03,0.05,0.01,True,True,True,True
30,22.401564866842115,5.103668843344106,0.04471370232902618,0.2981577453494419,0.15038780444309355,12.384860071439192,30.452678878867786,14.221604808290204,-0.13333333333333333,0.43539587491683307,0.6785753845498,11.8,11.933333333333334,23.733333333333334,1.0666666666666667,2.2761770309396874,0.40681841191399154,5.037711866940384,0.33202344468548856,0.33244467370755354,0.0224050748125612,0.15,0.03,0.05,0.015,True,True,True,True
30,22.403946926828528,5.075904822790492,0.04471845693977751,0.2985534431079657,0.15025707768090105,12.33193733765809,30.405788113545356,14.185471978287794,-0.1,0.43679308050565535,0.6803391464959323,11.9,12.0,23.9,1.1,2.269786918585943,0.40925399334471074,5.096985697721905,0.33255610252797185,0.3329831995203196,0.022127326890716423,0.15,0.03,0.05,0.0,True,True,True,True
30,22.266857892554807,4.9905974282446595,0.04444482613284393,0.2977267378885162,0.14970676697484064,13.110653636738448,30.119030567493752,14.016238561345828,-0.06666666666666667,0.4276114437791084,0.6758771278568851,12.033333333333333,12.1,24.133333333333333,1.0666666666666667,2.2674047691931998,0.41805886115519947,5.117469810534217,0.3318105395473751,0.3319827287304742,0.01048836626369156,0.15,0.0,0.02,0.01,True,True,True,True
30,22.21980230319481,4.984169406068919,0.04435090280078804,0.29785746476602765,0.1493377555571603,13.070653636738456,30.07903056749376,13.998238561345826,-0.06666666666666667,0.4276114437791084,0.6758771278568851,12.033333333333333,12.1,24.133333333333333,1.0666666666666667,2.2751201013766242,0.4198636731737705,5.117469810534217,0.3327731448270103,0.3329422034484592,0.010484663045481587,0.15,0.02,0.02,0.01,True,True,True,True
30,22.210482060687564,5.1141986407913596,0.04433229952233047,0.2975106766093012,0.14931949020352359,12.235310071439187,30.12407428761651,14.028307308290204,-0.1,0.4280771789753826,0.676163167459364,11.966666666666667,12.066666666666666,24.033333333333335,1.1,2.270137062472023,0.41668171319667235,5.0977118669403865,0.331363139586771,0.3315411529525616,0.011196866940268864,0.15,0.0,0.02,0.015,True,True,True,True
30,22.205108790085106,4.988199591657595,0.04432157443130758,0.2978567054133087,0.14927125218348516,13.050653636738446,30.05903056749375,13.989238561345827,-0.06666666666666667,0.4264803725881571,0.6747366069099321,12.033333333333333,12.1,24.133333333333333,1.0666666666666667,2.2795812529588932,0.4201463233605584,5.117469810534217,0.3332245866155525,0.333388405622997,0.010478620253608458,0.15,0.03,0.02,0.01,True,True,True,True
