seed,event,time
315,0,500
316,0,500
317,0,500
318,0,500
319,0,500
320,0,500
321,1,95
322,0,500
323,1,135
324,0,500
325,0,500
326,0,500
327,0,500
328,0,500
329,0,500
330,0,500
331,0,500
332,0,500
333,0,500
334,0,500
335,1,228
336,0,500
337,0,500
338,0,500
339,0,500
340,0,500
341,1,478
342,0,500
343,1,227
344,0,500
345,1,193
346,0,500
347,0,500
348,0,500
349,0,500
350,1,304
351,0,500
352,0,500
353,0,500
354,0,500
355,1,42
356,0,500
357,0,500
358,0,500
359,0,500
360,0,500
361,1,299
362,0,500
363,1,457
364,0,500
365,0,500
366,0,500
367,0,500
368,0,500
369,1,59
370,0,500
371,1,33
372,1,285
373,0,500
374,1,443
375,0,500
376,1,178
377,0,500
378,0,500
379,1,280
380,0,500
381,0,500
382,0,500
383,0,500
384,0,500
385,0,500
386,0,500
387,0,500
388,0,500
389,0,500
390,0,500
391,1,163
392,1,60
393,1,344
394,0,500
395,0,500
396,0,500
397,0,500
398,1,71
399,1,83
400,0,500
401,0,500
402,0,500
403,1,52
404,0,500
405,0,500
406,0,500
407,1,231
408,1,55
409,1,160
410,0,500
411,0,500
412,0,500
413,1,319
414,0,500
415,0,500
416,1,119
417,0,500
418,0,500
419,0,500
420,0,500
421,0,500
422,0,500
423,1,50
424,1,225
425,1,106
426,0,500
427,0,500
428,0,500
429,0,500
430,0,500
431,0,500
432,1,59
433,0,500
434,0,500
435,1,148
436,0,500
437,0,500
438,0,500
439,0,500
440,0,500
441,1,305
442,1,138
443,0,500
444,0,500
445,0,500
446,0,500
447,0,500
448,0,500
449,1,83
450,0,500
451,0,500
452,1,226
453,0,500
454,0,500
455,1,291
456,0,500
457,0,500
458,0,500
459,0,500
460,0,500
461,0,500
462,1,175
463,1,184
464,1,252
465,0,500
466,0,500
467,0,500
468,0,500
469,0,500
470,0,500
471,1,78
472,0,500
473,1,172
474,0,500
475,0,500
476,0,500
477,0,500
478,0,500
479,1,471
480,0,500
481,0,500
482,1,77
483,0,500
484,0,500
485,0,500
486,0,500
487,0,500
488,1,191
489,0,500
490,1,47
491,0,500
492,0,500
493,0,500
494,1,185
495,0,500
496,1,109
497,0,500
498,1,123
499,0,500
500,0,500
501,0,500
502,0,500
503,1,231
504,0,500
505,0,500
506,1,411
507,1,48
508,0,500
509,0,500
510,0,500
511,0,500
512,0,500
513,0,500
514,0,500
515,0,500
516,0,500
517,1,273
518,0,500
519,0,500
520,0,500
521,0,500
522,0,500
523,1,58
524,0,500
525,0,500
526,0,500
527,0,500
528,0,500
529,0,500
530,0,500
531,0,500
532,0,500
533,1,107
534,0,500
535,0,500
536,0,500
537,0,500
538,0,500
539,0,500
540,1,144
541,0,500
542,0,500
543,1,15
544,0,500
545,0,500
546,0,500
547,0,500
548,1,93
549,0,500
550,0,500
551,1,175
552,0,500
553,0,500
554,0,500
555,0,500
556,0,500
557,0,500
558,1,82
559,0,500
560,0,500
561,0,500
562,1,340
563,0,500
564,0,500
565,0,500
566,0,500
567,0,500
568,1,137
569,0,500
570,1,452
571,1,170
572,1,280
573,0,500
574,0,500
575,0,500
576,0,500
577,0,500
578,0,500
579,0,500
580,0,500
581,0,500
582,1,345
583,0,500
584,0,500
585,1,222
586,0,500
587,0,500
588,0,500
589,0,500
590,0,500
591,0,500
592,0,500
593,0,500
594,0,500
595,0,500
596,0,500
597,0,500
598,0,500
599,0,500
600,0,500
601,1,20
602,1,246
603,0,500
604,1,91
605,0,500
606,0,500
607,1,93
608,0,500
609,0,500
610,1,27
611,0,500
612,1,388
613,0,500
614,1,69
615,0,500
616,1,347
617,0,500
618,0,500
619,0,500
620,0,500
621,0,500
622,0,500
623,0,500
624,0,500
625,0,500
626,0,500
627,0,500
628,0,500
629,0,500
630,0,500
631,0,500
632,0,500
633,1,186
634,0,500
635,1,245
636,0,500
637,0,500
638,0,500
639,1,441
640,0,500
641,0,500
642,0,500
643,0,500
644,1,104
645,0,500
646,0,500
647,1,42
648,1,298
649,0,500
650,1,81
651,0,500
652,1,429
653,0,500
654,0,500
655,0,500
656,1,154
657,1,84
658,0,500
659,0,500
660,0,500
661,0,500
662,0,500
663,0,500
664,0,500
665,1,207
666,0,500
667,0,500
668,0,500
669,0,500
670,0,500
671,0,500
672,0,500
673,0,500
674,1,133
675,0,500
676,0,500
677,0,500
678,1,384
679,0,500
680,0,500
681,0,500
682,0,500
683,0,500
684,0,500
685,0,500
686,1,145
687,0,500
688,0,500
689,0,500
690,0,500
691,1,170
692,0,500
693,0,500
694,1,182
695,0,500
696,0,500
697,1,100
698,0,500
699,0,500
700,1,86
701,0,500
702,0,500
703,0,500
704,1,45
705,0,500
706,1,207
707,0,500
708,1,425
709,0,500
710,0,500
711,0,500
712,0,500
713,1,160
714,0,500
715,1,75
716,0,500
717,0,500
718,0,500
719,0,500
720,0,500
721,0,500
722,1,425
723,1,301
724,0,500
725,1,286
726,1,71
727,1,389
728,0,500
729,1,105
730,1,34
731,0,500
732,0,500
733,0,500
734,0,500
735,0,500
736,0,500
737,0,500
738,0,500
739,1,243
740,0,500
741,0,500
742,0,500
743,0,500
744,0,500
745,0,500
746,0,500
747,0,500
748,0,500
749,0,500
750,0,500
751,1,238
752,0,500
753,0,500
754,1,144
755,1,274
756,0,500
757,0,500
758,0,500
759,0,500
760,0,500
761,0,500
762,0,500
763,1,72
764,0,500
765,0,500
766,1,169
767,0,500
768,0,500
769,1,135
770,0,500
771,0,500
772,0,500
773,0,500
774,0,500
775,0,500
776,0,500
777,0,500
778,0,500
779,0,500
780,0,500
781,0,500
782,1,249
783,0,500
784,1,118
785,0,500
786,1,155
787,0,500
788,0,500
789,1,49
790,1,138
791,1,474
792,0,500
793,1,330
794,0,500
795,1,316
796,0,500
797,0,500
798,0,500
799,1,64
800,0,500
801,0,500
802,0,500
803,0,500
804,0,500
805,1,167
806,1,248
807,0,500
808,1,36
809,0,500
810,0,500
811,1,421
812,1,184
813,0,500
814,1,385
815,1,92
816,0,500
817,0,500
818,0,500
819,0,500
820,1,449
821,0,500
822,0,500
823,0,500
824,1,123
825,0,500
826,1,134
827,0,500
828,0,500
829,0,500
830,0,500
831,0,500
832,1,411
833,1,264
834,0,500
835,0,500
836,0,500
837,0,500
838,0,500
839,1,114
840,0,500
841,1,192
842,0,500
843,1,368
844,0,500
845,0,500
846,0,500
847,0,500
848,0,500
849,1,95
850,1,107
851,0,500
852,0,500
853,0,500
854,0,500
855,0,500
856,0,500
857,0,500
858,1,356
859,0,500
860,0,500
861,0,500
862,0,500
863,1,86
864,1,275
865,0,500
866,0,500
867,1,398
868,1,446
869,1,169
870,0,500
871,1,21
872,0,500
873,0,500
874,0,500
875,1,206
876,1,280
877,1,186
878,0,500
879,0,500
880,1,225
881,0,500
882,1,475
883,0,500
884,0,500
885,0,500
886,1,141
887,0,500
888,0,500
889,0,500
890,0,500
891,0,500
892,0,500
893,0,500
894,0,500
895,0,500
896,0,500
897,0,500
898,0,500
899,0,500
900,0,500
901,0,500
902,0,500
903,0,500
904,0,500
905,0,500
906,0,500
907,1,221
908,1,266
909,1,375
910,0,500
911,0,500
912,0,500
913,0,500
914,0,500
915,0,500
916,0,500
917,0,500
918,0,500
919,1,106
920,0,500
921,0,500
922,0,500
923,0,500
924,0,500
925,1,96
926,0,500
927,0,500
928,1,232
929,0,500
930,0,500
931,0,500
932,1,161
933,0,500
934,0,500
935,1,72
936,0,500
937,0,500
938,0,500
939,0,500
940,0,500
941,0,500
942,1,208
943,0,500
944,0,500
945,0,500
946,0,500
947,1,327
948,0,500
949,1,158
950,1,111
951,0,500
952,0,500
953,0,500
954,0,500
955,1,226
956,0,500
957,0,500
958,0,500
959,0,500
960,1,276
961,0,500
962,0,500
963,0,500
964,0,500
965,0,500
966,1,327
967,0,500
968,0,500
969,0,500
970,0,500
971,0,500
972,0,500
973,1,213
974,1,418
975,0,500
976,0,500
977,0,500
978,0,500
979,0,500
980,0,500
981,0,500
982,0,500
983,0,500
984,0,500
985,0,500
986,0,500
987,0,500
988,1,288
989,0,500
990,1,241
991,0,500
992,1,149
993,0,500
994,1,154
995,0,500
996,1,238
997,0,500
998,0,500
999,1,219
1000,1,152
1001,1,181
1002,0,500
1003,0,500
1004,0,500
1005,0,500
1006,1,111
1007,0,500
1008,1,306
1009,0,500
1010,0,500
1011,1,56
1012,0,500
1013,1,256
1014,0,500
1015,0,500
1016,1,219
1017,0,500
1018,0,500
1019,0,500
1020,0,500
1021,0,500
1022,0,500
1023,0,500
1024,0,500
1025,0,500
1026,0,500
1027,0,500
1028,0,500
1029,0,500
1030,0,500
1031,1,35
1032,0,500
1033,0,500
1034,0,500
1035,0,500
1036,0,500
1037,1,160
1038,1,197
1039,0,500
1040,0,500
1041,0,500
