run,barrier_hit,survived,steps_survived,final_wealth
85,0,1,500,25.261579967427934
86,0,1,500,23.73082505618737
87,0,1,500,18.46171558610621
88,1,0,38,-6.6281612027131445
89,0,1,500,24.59286036822806
90,1,0,247,2.8254064749966545
91,0,1,500,22.407983380667787
92,0,1,500,11.380259856479995
93,0,1,500,17.27717392170058
94,1,0,228,-2.3134655241689615
95,1,0,405,8.238498673216668
96,0,1,500,26.247262938558734
97,1,0,228,4.866883502625143
98,0,1,500,21.486595697748328
99,0,1,500,22.6283069155311
100,1,0,243,4.633591823665554
101,1,0,385,16.15821569872105
102,0,1,500,21.031305284800254
103,0,1,500,15.145934475869126
104,0,1,500,24.825929023336585
105,0,1,500,30.428814152710146
106,0,1,500,9.345882672533321
107,0,1,500,15.109101712769018
108,0,1,500,17.660518063780586
109,0,1,500,19.061156474950906
110,0,1,500,14.769885626376379
111,0,1,500,22.60999700833267
112,0,1,500,14.616323110523936
113,1,0,376,13.16024109954192
114,0,1,500,11.88310954564156
115,0,1,500,24.653228847451587
116,0,1,500,15.080116255118014
117,0,1,500,12.33318068372165
118,0,1,500,10.694125945617287
119,0,1,500,19.083386727532584
120,0,1,500,29.70879402942964
121,0,1,500,23.511067609427357
122,0,1,500,30.73035985502804
123,0,1,500,26.686308677680472
124,0,1,500,36.77268841787195
125,0,1,500,11.190449483717458
126,0,1,500,28.40921026206223
127,0,1,500,17.072620497898583
128,0,1,500,19.12096419702644
129,0,1,500,15.400317296437152
130,1,0,218,-3.055384814336847
131,0,1,500,22.924821013471345
132,1,0,260,-1.0606451034181106
133,1,0,398,16.41649428594556
134,0,1,500,40.100704420861646
135,1,0,109,-1.992442913740902
136,0,1,500,16.271642261146624
137,0,1,500,29.267802936135013
138,1,0,163,1.3569713846518567
139,1,0,108,-4.922624676924784
140,0,1,500,18.626371450730716
141,0,1,500,19.597993355998838
142,0,1,500,25.699702256350747
143,0,1,500,21.689421648477946
144,0,1,500,15.147329366763188
145,0,1,500,24.721811266383597
146,1,0,158,5.398929539742014
147,0,1,500,30.417558571514675
148,1,0,202,0.4655152491809673
149,1,0,192,-0.6536096109030751
150,0,1,500,12.852998186658127
151,1,0,159,3.0441188731173696
152,0,1,500,13.174886996037785
153,1,0,85,-3.748981472082775
154,1,0,107,-0.6130628633067516
155,1,0,437,5.163098648431799
156,1,0,83,-0.6799888873130584
157,0,1,500,23.57600845956398
158,0,1,500,15.14813462743507
159,0,1,500,20.202088086700925
160,0,1,500,13.389234100860023
161,0,1,500,32.04034698246713
162,0,1,500,25.885776088905956
163,1,0,447,19.4378446993978
164,0,1,500,14.849114237038322
165,0,1,500,26.921862806758014
166,0,1,500,24.51178889193733
167,0,1,500,22.342376185547025
168,0,1,500,18.361557988269766
169,0,1,500,22.612984319721903
170,1,0,174,2.4170977766073634
171,0,1,500,15.906433690690847
172,1,0,39,-7.339243293836148
173,1,0,101,3.201627396226229
174,0,1,500,14.410022270943088
175,0,1,500,18.370122162702728
176,0,1,500,26.682523521723482
177,1,0,250,4.938087817632066
178,0,1,500,24.97105558835875
179,0,1,500,26.063065004578277
180,0,1,500,27.53810558002131
181,1,0,145,8.641310181554914
182,0,1,500,30.903784432254696
183,1,0,208,1.0059976455415551
184,1,0,500,27.21504532998904
185,0,1,500,18.100740557843764
186,0,1,500,35.66210713893295
187,0,1,500,20.77549818693042
188,0,1,500,16.03552264023071
189,0,1,500,21.30636205422951
190,1,0,355,10.518174294551443
191,0,1,500,29.34046940334764
192,1,0,316,3.826140562843648
193,1,0,486,16.990926069237446
194,1,0,83,-7.657555524416836
195,0,1,500,21.015599115177537
196,0,1,500,21.72742905772168
197,0,1,500,29.257945262887773
198,1,0,76,-4.01937277278806
199,0,1,500,17.032082587101
